Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-02 20:00:00,2699.99,2699.99,2683.2,2689.51,307.43,826563.54,2688.64
2017-08-02 21:00:00,2689.5,2689.51,2650,2664.24,626.46,1669053.28,2664.25
2017-08-02 22:00:00,2669.1,2699.9,2658.06,2692.71,326.73,877661.32,2686.18
2017-08-02 23:00:00,2692.45,2699.9,2679.01,2699.9,196.74,528887.54,2688.2
2017-08-03 0:00:00,2699.9,2717.93,2699.89,2717,386.65,1048316.62,2711.29
2017-08-03 1:00:00,2717,2717,2700.93,2716.29,193.23,523478.91,2709.03
2017-08-03 2:00:00,2716.3,2716.3,2705.54,2711.6,197.08,534581.57,2712.52
2017-08-03 3:00:00,2712.2,2720,2712.19,2720,213.81,580735.05,2716.08
2017-08-03 4:00:00,2719.99,2720.1,2714.72,2714.88,186.75,507473.09,2717.37
2017-08-03 5:00:00,2714.88,2716.71,2708.4,2716.71,128.74,349073.39,2711.37
2017-08-03 6:00:00,2716.71,2719.81,2709.49,2712.28,115.5,313418.92,2713.66
2017-08-03 7:00:00,2712.28,2719.93,2712.28,2718.99,155.71,423039.94,2716.84
2017-08-03 8:00:00,2718.98,2719.93,2714.2,2719.93,153.79,418054.2,2718.31
2017-08-03 9:00:00,2719.93,2744,2719.92,2743.99,312.07,853302.8,2734.35
2017-08-03 10:00:00,2743.99,2743.99,2737.51,2739.01,152.8,418805.48,2740.84
2017-08-03 11:00:00,2740.11,2740.11,2732.94,2735.76,302.75,828224.81,2735.66
2017-08-03 12:00:00,2735.76,2735.76,2720.2,2732.26,269.5,735380.76,2728.66
2017-08-03 13:00:00,2732.26,2740.95,2730.79,2734.64,429.36,1174301.45,2734.98
2017-08-03 14:00:00,2734.57,2735.71,2729.4,2735,189.21,517073.44,2732.84
2017-08-03 15:00:00,2735,2758.88,2734.99,2758.88,428.84,1178226.28,2747.5
2017-08-03 16:00:00,2758.88,2761.93,2752.64,2760.04,504.45,1392411.08,2760.24
2017-08-03 17:00:00,2760.04,2764.36,2751,2751.96,326.76,901203.94,2758.03
2017-08-03 18:00:00,2751.99,2769.93,2751.71,2769.93,250.89,692549.85,2760.42
2017-08-03 19:00:00,2769.93,2795.15,2769.92,2789.99,678.22,1890270.46,2787.12
2017-08-03 20:00:00,2790,2799,2777.06,2780,444.91,1240837.23,2788.94
2017-08-03 21:00:00,2780,2789.28,2777.5,2779.99,415.82,1156608.76,2781.51
2017-08-03 22:00:00,2779.99,2793.02,2779.98,2793.02,569.08,1585421.43,2785.93
2017-08-03 23:00:00,2793.01,2798.92,2784.1,2787.02,420.03,1171061.71,2788.04
2017-08-04 0:00:00,2787.05,2790.99,2787,2789.02,250.35,698287.94,2789.21
2017-08-04 1:00:00,2789.02,2789.16,2775.01,2779,437.83,1217874.66,2781.59
2017-08-04 2:00:00,2779,2789.96,2775,2775,302.96,843050.16,2782.74
2017-08-04 3:00:00,2775,2786.55,2775,2781.2,208.53,580317.39,2782.9
2017-08-04 4:00:00,2781.21,2786,2768.75,2771.86,208.12,578373.86,2778.99
2017-08-04 5:00:00,2772.35,2782.99,2760,2782.99,247.46,685600.88,2770.52
2017-08-04 6:00:00,2782.99,2785,2779.06,2780.21,157.15,437353.43,2782.99
2017-08-04 7:00:00,2780.2,2805,2779.5,2805,303.55,847130.37,2790.71
2017-08-04 8:00:00,2805,2839.95,2798.54,2839.36,277.05,781464.92,2820.69
2017-08-04 9:00:00,2839.36,2851.55,2833.21,2840.45,365.86,1039685.17,2841.8
2017-08-04 10:00:00,2840.45,2847.87,2830.51,2847.02,328.97,934642.89,2841.16
2017-08-04 11:00:00,2847.02,2869.87,2839.5,2839.5,394.31,1126737.62,2857.47
2017-08-04 12:00:00,2839.5,2849.82,2838.7,2842,279.26,794193.88,2843.88
2017-08-04 13:00:00,2842.01,2853.99,2842,2848.27,302.04,860150.58,2847.82
2017-08-04 14:00:00,2848.28,2863,2848,2863,373.08,1063883.97,2851.66
2017-08-04 15:00:00,2862.99,2877.79,2862.96,2863.6,420.57,1206833.43,2869.5
2017-08-04 16:00:00,2863.6,2873.22,2848,2848,326.32,934951.12,2865.12
2017-08-04 17:00:00,2846.93,2857.13,2839.39,2852.98,300.76,856708.99,2848.52
2017-08-04 18:00:00,2853,2854,2833.96,2835.76,712.27,2025031.72,2843.06
2017-08-04 19:00:00,2835.76,2841.54,2826.11,2826.65,382.76,1084436.58,2833.17
2017-08-04 20:00:00,2826.65,2834.67,2826.65,2832,299.58,848124.2,2831.03
2017-08-04 21:00:00,2832,2840,2827,2839,307.28,870592.36,2833.24
2017-08-04 22:00:00,2839,2861.69,2838.99,2861.69,218.05,621124.69,2848.55
2017-08-04 23:00:00,2862.28,2868.11,2850,2857.34,310.86,888791.64,2859.13
2017-08-05 0:00:00,2857.34,2868.12,2857.34,2863.19,208.66,597249.88,2862.35
2017-08-05 1:00:00,2863.2,2883.54,2863.19,2873.15,455.45,1308394.21,2872.77
2017-08-05 2:00:00,2871.8,2945.22,2871.8,2945.22,1105.07,3224421.34,2917.83
2017-08-05 3:00:00,2945.21,3195,2945.01,3095.3,4261.02,13116974.37,3078.37
2017-08-05 4:00:00,3095.3,3179.79,3050.01,3117.77,1780.88,5547461.27,3115.01
2017-08-05 5:00:00,3117,3131.31,3075,3090.87,1158.2,3603811,3111.56
2017-08-05 6:00:00,3090.17,3162.17,3090.17,3160,759.07,2373366.09,3126.68
2017-08-05 7:00:00,3160.01,3160.01,3090,3099.16,633.57,1972387.46,3113.11
2017-08-05 8:00:00,3099.17,3160.47,3095.55,3142.73,430.17,1348000.39,3133.62
2017-08-05 9:00:00,3141.64,3200,3135.36,3151.81,839.21,2668386.95,3179.66
2017-08-05 10:00:00,3151.82,3193.03,3147,3165.58,451.98,1430748.92,3165.5
2017-08-05 11:00:00,3165.59,3165.59,3115.66,3125.01,430.65,1351659.34,3138.65
2017-08-05 12:00:00,3125,3149.94,3119,3141.93,248.66,780391.21,3138.33
2017-08-05 13:00:00,3141.94,3169.96,3141.93,3162.11,360.1,1137502.38,3158.87
2017-08-05 14:00:00,3162.1,3221.86,3157.88,3221.3,809.68,2587939.12,3196.27
2017-08-05 15:00:00,3221.3,3221.3,3168.56,3191,719.06,2297915.3,3195.71
2017-08-05 16:00:00,3191,3278.69,3191,3278.68,1078.56,3491383.88,3237.07
2017-08-05 17:00:00,3278.69,3335,3257.76,3300.05,1473.87,4858318.4,3296.31
2017-08-05 18:00:00,3300.1,3321.19,3243.08,3281.29,1005.69,3296422.74,3277.76
2017-08-05 19:00:00,3281.28,3290.51,3240.01,3254.18,704.24,2301127.17,3267.54
2017-08-05 20:00:00,3254.18,3276.91,3215,3231.41,589.98,1916832.69,3248.97
2017-08-05 21:00:00,3229.08,3229.08,3155,3215.97,1200.2,3833268.99,3193.87
2017-08-05 22:00:00,3215.97,3230,3211.02,3214.66,423.13,1363879.8,3223.33
2017-08-05 23:00:00,3214.66,3243.69,3200,3243.49,487.51,1571942.14,3224.45
